school,name,tag
Louisville,Cardinals,bird
Liberty,Flames,bird
Colorado St.,Rams,horned
Missouri,Tigers,cat
Oklahoma St.,Cowboys,human
Oregon,Ducks,bird
Saint Louis,Billikens,???
New Mexico State,Aggies,human
Memphis,Tigers,cat
Middle Tennesee,Blue Raiders,horse
Saint Mary's,Gaels,human
Michigan State,Spartans,human
Valparaiso,Crusaders,human
Creighton,Bluejays,bird
Cincinnati,Bearcats,other
Duke,Blue Devils,human
Albany,Great Danes,dog
Gonzaga,Bulldogs,dog
Southern U.,Jaguars,cat
Pittsburgh,Panthers,cat
Wichita State,Shockers,???
Wisconsin,Badgers,other
Ole Miss,Rebels,human
Kansas State,Wildcats,cat
Boise State,Broncos,horse
La Salle,Explorers,human
Arizona,Wildcats,cat
Belmont,Bruins,bear
New Mexico,Lobos,dog
Harvard,Crimson,human
Notre Dame,Fighting Irish,human
Iowa State,Cyclones,bird
Ohio State,Buckeyes,???
Iona,Gaels,human
Kansas,Jayhawks,bird
Western Kentucky,Hilltoppers,???
North Carolina,Tarheels,horned
Villanova,Wildcats,cat
Vcu,Rams,horned
Akron,Zips,other
Michigan,Wolverines,other
South Dakota State,Jackrabbits,other
Ucla,Bruins,bear
Minnesota,Golden Gophers,other
Florida,Gators,reptile
Northwestern St.,Demons,human
San Diego State,Aztecs,human
Oklahoma,Sooners,horse
Georgetown,Hoyas,dog
Florida Gulf Coast,Eagles,bird
Indiana,Hoosiers,other
LIU Brooklyn,Blackbirds,bird
James Madison,Dukes,dog
N.C. State,Wolfpack,dog
Temple,Owls,bird
UNLV,Runnin Rebels,human
California,Golden Bears,bear
Syracuse,Orangemen,???
Montana,Grizzlies,bear
Butler,Bulldogs,dog
Bucknell,Bison,horned
Marquette,Golden Eagles,bird
Davidson,Wildcats,cat
Illinois,Fighting Illini,human
Colorado,Buffalos,horned
Miami,Hurricanes,bird
Pacific,Tigers,cat
North Carolina A&T,Aggies,dog
